nsp,ncomm,nmeas,model,likelihood,npars,pval_rnd,pval_scramble,corr,alpha,nrnd,nscr,label
8,58,235,1,-856.4449815691875,16,0.419,0.378,0.9482377586717943,7.660510196446576,1000,1000,Wag 00
8,58,235,2,-850.2954281670198,23,0.456,0.435,0.9505106987200557,8.110187044084608,1000,1000,Wag 00
8,58,235,3,-823.1076631484992,23,0.246,0.248,0.9602379304892324,10.396152516481298,1000,1000,Wag 00
8,58,235,4,-817.5919960260819,30,0.26,0.297,0.9622407814708525,10.928259209406514,1000,1000,Wag 00
8,58,231,1,-815.6794092499766,16,0.001,0.001,0.9331695058000613,8.411107435960954,1000,1000,Wag 01
8,58,231,2,-811.5682504693335,23,0.103,0.115,0.9347481481408665,8.741673881422836,1000,1000,Wag 01
8,58,231,3,-786.4906028856075,23,0,0.001,0.9484400965434684,11.024234797107798,1000,1000,Wag 01
8,58,231,4,-780.6500538284314,30,0.071,0.066,0.9499794426217992,11.631532453172847,1000,1000,Wag 01
8,56,222,1,-770.4355010349577,16,0.067,0.066,0.8584355527105108,2.966072841823703,1000,1000,Wag 02
8,56,222,2,-756.7222576049802,23,0.04,0.024,0.8788231780606197,3.448732442273997,1000,1000,Wag 02
8,56,222,3,-754.1517394912896,23,0.068,0.071,0.8766847666780273,3.5444034252286287,1000,1000,Wag 02
8,56,222,4,-726.884300101595,30,0.003,0.003,0.9079940583605112,4.723455951175691,1000,1000,Wag 02
8,51,196,1,-754.3418250283017,16,0.043,0.043,0.8490519256976007,2.438478296516177,1000,1000,Wag 03
8,51,196,2,-737.1086796575922,23,0.036,0.018,0.8727122119046645,3.0415059669680855,1000,1000,Wag 03
8,51,196,3,-731.9309207587705,23,0.076,0.027,0.8796052676784581,3.244200277081923,1000,1000,Wag 03
8,51,196,4,-713.488120797002,30,0.03,0.028,0.9025586055173889,4.059524664876773,1000,1000,Wag 03
8,53,184,1,-731.7486171199337,16,0.145,0.14,0.7957112553316471,1.5108522363930201,1000,1000,Wag 04
8,53,184,2,-721.2005498829751,23,0.115,0.088,0.8229534553887811,1.7807896376197205,1000,1000,Wag 04
8,53,184,3,-699.0338181816002,23,0.005,0.003,0.8525893181683782,2.4578901273889397,1000,1000,Wag 04
