Achillea millefolium,Andropogon gerardi,Bouteloua gracilis,Koeleria cristata,Liatris aspera,Lupinus perennis,Petalostemum villosum,Poa pratensis,Schizachyrium scoparium,Sporobolus cryptandrus,Amorpha canescens,Lespedeza capitata,Panicum virgatum,Polygonum tenue,Erigeron canadensis,Monarda fistulosa,Polygonum convolvulus,Silene antirrhina,Sorghastrum nutans,Chenopodium leptophyllum,Crepis tectorum,Elymus canadensis,Taraxicum officinalis,Solidago nemoralis,Asclepias tuberosa,Aristida basiramea,Hedeoma hispida,Leptoloma cognatum,Physalis virginiana,Agropyron repens,Lepidium densiflorum,Ambrosia artemisiifolia elatior,Bouteloua curtipendula,Agrostis scabra,Euphorbia glyptosperma,Rumex acetosella,Panicum oligosanthes,Eragrostis spectabilis,Linaria vulgaris,Mollugo verticillata,Cyperus filiculmis,Cyperus schweinitzii
0,0,0,0,0,0.267,0,0,58,0,0,0,0.567,0,0,0,0,0.05,0,0,0,0,0,0,0.233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183,0
0.052,0,0,0,3.667,142.617,7.517,15.233,34.183,0,0.317,4.483,21.017,0,0,0,0.023,0,60.233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057,0,0,0,0,0
19.717,4.883,0,0,0,167.433,13.183,14.733,52.8,0,32.4,28.55,21.933,0,0,20.35,0.3,0,131.733,0,0,0,0.133,0.317,0,0,0,0,0.067,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.617,1.117,1.15,0,0,0,0.733,137.833,0.083,0,166.167,0,0,0,0,0.025,0,3.05,0,0,0,0,0,0.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0
0,0,0,0.05,0,171.717,0,0,0,0,0,1.433,0,0,0,0,6.783,0,0,0,0,0,0.733,0,0.533,0,0,0,0.617,50.967,1.2,5.35,0,0,1.283,10.083,0,0,0,0,0,0
2.1,14.967,1.35,0.533,0,0.1,60.516,0,33.167,0.4,0,0,0,0,0,0,0.067,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267,0,0,0,0,0,0
0,0.1,1.15,118.35,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.483,0,0,0,0,0,0,0,0,0,0,0,0
0,0.367,0.028,0,0,0,96.95,0,0.067,0.25,0,0,0.267,0,0.483,0,0,0,50.633,0,0.367,0.15,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.008,0.033
9.017,162.617,0,0,0.5,74.817,0,31.5,37.85,0,0,93.033,2.067,0,0,17.9,0.022,0,125.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.983,1.7,0,6.6,9.7,42.083,27.15,22.75,31.383,0.183,49.783,22.55,1.05,0,0.5,27.15,0.233,0,37.35,0,0,0,0,15.217,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0,0,0,0.5,0.067
0,0,0,0,0,0,0,0,43.317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233
0,94.567,0,0.883,0,110.95,22.283,21.883,0,0,0,13.6,0,0,0,0,0,0,71.217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,191.75,0,0,0,0,4.467,0,0,0.933,0,0,0,0,0,54.4,0.117,0,0.183,0.717,0,0,0,0,0,0,0.9,0,0,0,2.1,5.583
0,0.7,0,0,0,134.317,0,67.5,10.733,0,0,0,101.85,0,0,0,0.4,0,10,0,0,0,0,0,0,0,0,0,0,3.833,0,0,0.4,0,0,0,0,0,0,0,0,0
